team,games,accuracy,log_loss,brier,avg_predicted_win_prob,actual_win_rate,calibration_gap,is_overestimated,is_underestimated
ARI,17,0.6471,0.6425,0.2255,0.4466,0.4706,-0.024,False,False
ATL,17,0.5882,0.6994,0.2528,0.4868,0.4706,0.0162,False,False
BAL,19,0.7368,0.5999,0.2064,0.5981,0.6842,-0.0861,False,True
BUF,20,0.7,0.5379,0.1828,0.6696,0.75,-0.0804,False,True
CAR,16,0.8125,0.545,0.1774,0.2868,0.25,0.0368,False,False
CHI,16,0.75,0.5699,0.1909,0.3819,0.25,0.1319,True,False
CIN,17,0.7059,0.5954,0.2036,0.5261,0.5294,-0.0033,False,False
CLE,17,0.6471,0.6682,0.2383,0.3935,0.1765,0.217,True,False
DAL,17,0.6471,0.6334,0.2228,0.5147,0.4118,0.103,True,False
DEN,18,0.7222,0.5846,0.2011,0.5212,0.5556,-0.0344,False,False
DET,18,0.7778,0.5342,0.1785,0.672,0.8333,-0.1613,False,True
GB,17,0.8235,0.5574,0.182,0.5791,0.6471,-0.0679,False,True
HOU,19,0.7895,0.6016,0.206,0.5483,0.5789,-0.0306,False,False
IND,17,0.8235,0.5442,0.1803,0.4739,0.4706,0.0033,False,False
JAX,15,0.8,0.5345,0.1752,0.3875,0.2,0.1875,True,False
KC,19,0.8947,0.3745,0.1029,0.6987,0.8947,-0.196,False,True
LA,18,0.5556,0.7015,0.2541,0.5163,0.5556,-0.0392,False,False
LAC,18,0.6111,0.6135,0.2125,0.504,0.6111,-0.1071,False,True
LV,17,0.6471,0.6176,0.2104,0.392,0.2353,0.1567,True,False
MIA,17,0.7059,0.5574,0.1877,0.4559,0.4706,-0.0147,False,False
MIN,16,0.6875,0.5288,0.1724,0.5965,0.8125,-0.216,False,True
NE,16,0.6875,0.6186,0.2148,0.346,0.25,0.096,True,False
NO,17,0.6471,0.6648,0.239,0.4609,0.2941,0.1668,True,False
NYG,16,0.5625,0.626,0.2222,0.3616,0.1875,0.1741,True,False
NYJ,16,0.75,0.5828,0.1974,0.4118,0.3125,0.0993,True,False
PHI,19,0.7895,0.5472,0.1833,0.6418,0.8421,-0.2003,False,True
PIT,18,0.7222,0.5787,0.1941,0.5598,0.5556,0.0043,False,False
SEA,17,0.5882,0.6547,0.2318,0.5281,0.5882,-0.0601,False,True
SF,17,0.6471,0.6012,0.2079,0.4961,0.3529,0.1431,True,False
TB,18,0.6111,0.6098,0.2128,0.567,0.5556,0.0115,False,False
TEN,17,0.7647,0.5871,0.2014,0.3734,0.1765,0.1969,True,False
WAS,20,0.5,0.6918,0.2492,0.4551,0.7,-0.2449,False,True
