team,games,accuracy,log_loss,brier,avg_predicted_win_prob,actual_win_rate,calibration_gap,is_overestimated,is_underestimated
ARI,17,0.8235,0.4793,0.1543,0.3584,0.1765,0.1819,True,False
ATL,16,0.4375,0.8222,0.311,0.4282,0.5,-0.0718,False,True
BAL,17,0.5882,0.7492,0.2688,0.5457,0.4706,0.0751,True,False
BUF,19,0.6316,0.6797,0.2412,0.658,0.6842,-0.0262,False,False
CAR,18,0.5556,0.7233,0.2638,0.4401,0.4444,-0.0043,False,False
CHI,19,0.5789,0.63,0.2218,0.5179,0.6316,-0.1136,False,True
CIN,17,0.6471,0.6876,0.2382,0.4641,0.3529,0.1112,True,False
CLE,16,0.5625,0.6865,0.2468,0.2894,0.3125,-0.0231,False,False
DAL,16,0.5,0.718,0.2609,0.5196,0.4375,0.0821,True,False
DEN,18,0.7778,0.5101,0.168,0.6347,0.7778,-0.143,False,True
DET,17,0.5294,0.6735,0.2349,0.6186,0.5294,0.0892,True,False
GB,17,0.6471,0.6839,0.243,0.5525,0.5294,0.0231,False,False
HOU,19,0.6316,0.5722,0.1986,0.5561,0.6842,-0.1281,False,True
IND,16,0.6875,0.4842,0.1581,0.4772,0.4375,0.0397,False,False
JAX,17,0.5882,0.6571,0.2357,0.5421,0.7647,-0.2226,False,True
KC,16,0.625,0.6212,0.2181,0.5721,0.375,0.1971,True,False
LA,19,0.8421,0.5655,0.1855,0.6569,0.6842,-0.0274,False,False
LAC,17,0.6471,0.626,0.2184,0.5587,0.5882,-0.0296,False,False
LV,17,0.8235,0.5039,0.1691,0.338,0.1765,0.1615,True,False
MIA,16,0.5625,0.6786,0.2444,0.5051,0.375,0.1301,True,False
MIN,15,0.6,0.7086,0.2471,0.4899,0.5333,-0.0435,False,False
NE,20,0.8,0.5634,0.1882,0.6002,0.85,-0.2498,False,True
NO,17,0.6471,0.5931,0.209,0.3937,0.3529,0.0407,False,False
NYG,17,0.7647,0.5883,0.1978,0.2756,0.2353,0.0403,False,False
NYJ,16,0.8125,0.4082,0.1262,0.2501,0.1875,0.0626,True,False
PHI,18,0.5556,0.7594,0.2749,0.6792,0.6111,0.0681,True,False
PIT,17,0.6471,0.6692,0.2357,0.5242,0.5294,-0.0052,False,False
SEA,19,0.8421,0.4622,0.1468,0.6733,0.8421,-0.1688,False,True
SF,19,0.6842,0.6937,0.2431,0.4936,0.6842,-0.1906,False,True
TB,17,0.7059,0.6381,0.225,0.5443,0.4706,0.0737,True,False
TEN,17,0.8235,0.4258,0.1308,0.2687,0.1765,0.0922,True,False
WAS,16,0.5625,0.6094,0.211,0.4446,0.3125,0.1321,True,False
