game_id,season,week,gameday,away_team,home_team,home_score,away_score,result,home_win_actual,incumbent_home_win_prob,predicted_winner,confidence_bucket,model_version,feature_set,calibration_method,caution_qb_change,caution_neutral,caution_early_season,caution_missing_features,caution_model_market_disagreement,market_model_diff,market_prob_diagnostic,market_minus_model_diagnostic,qb_change_flag,game_type,roof,surface,weekday,div_game,log_loss,brier,correct,actual_winner,is_favorite_correct,is_underdog_correct
2022_19_NYG_MIN,2022,19,2023-01-15,NYG,MIN,24,31,-7,0.0,0.8446290947644205,MIN,80+,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,1,-0.2713,0.5733,-0.2713,1,WC,dome,sportturf,Sunday,0,1.8619,0.7134,0,NYG,0,0
2022_04_NYJ_PIT,2022,4,2022-10-02,NYJ,PIT,20,24,-4,0.0,0.8139474151649063,PIT,80+,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,1,0,1,-0.2121,0.6018,-0.2121,1,REG,outdoors,grass,Sunday,0,1.6817,0.6625,0,NYJ,0,0
2022_10_ARI_LA,2022,10,2022-11-13,ARI,LA,17,27,-10,0.0,0.7621806673741633,LA,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.1351,0.627,-0.1351,1,REG,dome,matrixturf,Sunday,1,1.4362,0.5809,0,ARI,0,0
2022_10_WAS_PHI,2022,10,2022-11-14,WAS,PHI,21,32,-11,0.0,0.7551534595797585,PHI,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0529,0.8081,0.0529,0,REG,outdoors,grass,Monday,1,1.4071,0.5703,0,WAS,0,0
2022_18_DAL_WAS,2022,18,2023-01-08,DAL,WAS,26,6,20,1.0,0.2508202736583024,DAL,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,0.009,0.2598,0.009,1,REG,outdoors,grass,Sunday,1,1.383,0.5613,0,WAS,0,0
2022_17_NO_PHI,2022,17,2023-01-01,NO,PHI,10,20,-10,0.0,0.7469682636969932,PHI,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0734,0.6735,-0.0734,0,REG,outdoors,grass,Sunday,0,1.3742,0.558,0,NO,0,0
2022_18_LAC_DEN,2022,18,2023-01-08,LAC,DEN,31,28,3,1.0,0.2549580764249335,LAC,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,1,0.443,0.6979,0.443,0,REG,outdoors,grass,Sunday,1,1.3667,0.5551,0,DEN,0,0
2022_07_TB_CAR,2022,7,2022-10-23,TB,CAR,21,3,18,1.0,0.2675377218510487,TB,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.1123,0.1553,-0.1123,0,REG,outdoors,grass,Sunday,1,1.3185,0.5365,0,CAR,0,0
2022_15_DAL_JAX,2022,15,2022-12-18,DAL,JAX,40,34,6,1.0,0.2787195207145089,DAL,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.085,0.3637,0.085,0,REG,outdoors,grass,Sunday,0,1.2775,0.5202,0,JAX,0,0
2022_14_BAL_PIT,2022,14,2022-12-11,BAL,PIT,14,16,-2,0.0,0.7050342304132284,PIT,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,1,-0.1651,0.5399,-0.1651,1,REG,outdoors,grass,Sunday,1,1.2209,0.4971,0,BAL,0,0
2022_10_IND_LV,2022,10,2022-11-13,IND,LV,20,25,-5,0.0,0.7035414459703806,LV,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.0552,0.6483,-0.0552,1,REG,dome,grass,Sunday,0,1.2158,0.495,0,IND,0,0
2022_14_JAX_TEN,2022,14,2022-12-11,JAX,TEN,22,36,-14,0.0,0.7031559217460531,TEN,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0912,0.6119,-0.0912,0,REG,outdoors,grass,Sunday,1,1.2145,0.4944,0,JAX,0,0
2022_12_BAL_JAX,2022,12,2022-11-27,BAL,JAX,28,27,1,1.0,0.2997011683465878,BAL,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0949,0.3946,0.0949,0,REG,outdoors,grass,Sunday,0,1.205,0.4904,0,JAX,0,0
2022_09_GB_DET,2022,9,2022-11-06,GB,DET,15,9,6,1.0,0.3015840510523227,GB,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0591,0.3607,0.0591,0,REG,dome,fieldturf,Sunday,1,1.1987,0.4878,0,DET,0,0
2022_01_NYG_TEN,2022,1,2022-09-11,NYG,TEN,20,21,-1,0.0,0.69816351655965,TEN,65-70,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,1,0,0,-0.0128,0.6854,-0.0128,0,REG,outdoors,grass,Sunday,0,1.1979,0.4874,0,NYG,0,0
2022_02_NYJ_CLE,2022,2,2022-09-18,NYJ,CLE,30,31,-1,0.0,0.683568607471594,CLE,65-70,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,1,0,0,-0.0007,0.6829,-0.0007,0,REG,outdoors,grass,Sunday,0,1.1506,0.4673,0,NYJ,0,0
2022_08_CIN_CLE,2022,8,2022-10-31,CIN,CLE,32,13,19,1.0,0.3173124201849985,CIN,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0778,0.3951,0.0778,0,REG,outdoors,grass,Monday,1,1.1479,0.4661,0,CLE,0,0
2022_14_MIN_DET,2022,14,2022-12-11,MIN,DET,34,23,11,1.0,0.3216236324692684,MIN,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,1,0.2331,0.5548,0.2331,0,REG,dome,fieldturf,Sunday,1,1.1344,0.4602,0,DET,0,0
2022_11_DET_NYG,2022,11,2022-11-20,DET,NYG,18,31,-13,0.0,0.677352203537462,NYG,65-70,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0787,0.5987,-0.0787,0,REG,outdoors,fieldturf,Sunday,0,1.1312,0.4588,0,DET,0,0
2022_06_TB_PIT,2022,6,2022-10-16,TB,PIT,20,18,2,1.0,0.3291725478508175,TB,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0998,0.2294,-0.0998,0,REG,outdoors,grass,Sunday,0,1.1112,0.45,0,PIT,0,0
2022_03_KC_IND,2022,3,2022-09-25,KC,IND,20,17,3,1.0,0.3301809616703683,KC,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,1,0,0,0.0215,0.3517,0.0215,0,REG,open,fieldturf,Sunday,0,1.1081,0.4487,0,IND,0,0
2022_14_CAR_SEA,2022,14,2022-12-11,CAR,SEA,24,30,-6,0.0,0.667699772453648,SEA,65-70,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0182,0.6495,-0.0182,0,REG,outdoors,fieldturf,Sunday,0,1.1017,0.4458,0,CAR,0,0
2022_16_HOU_TEN,2022,16,2022-12-24,HOU,TEN,14,19,-5,0.0,0.6632129944873427,TEN,65-70,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.0489,0.6143,-0.0489,1,REG,outdoors,grass,Saturday,1,1.0883,0.4399,0,HOU,0,0
2022_12_LV_SEA,2022,12,2022-11-27,LV,SEA,34,40,-6,0.0,0.6603076619762859,SEA,65-70,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0156,0.6447,-0.0156,0,REG,outdoors,fieldturf,Sunday,0,1.0797,0.436,0,LV,0,0
2022_10_DAL_GB,2022,10,2022-11-13,DAL,GB,31,28,3,1.0,0.3403611892134748,DAL,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0113,0.3517,0.0113,0,REG,outdoors,grass,Sunday,0,1.0777,0.4351,0,GB,0,0
2022_06_NYJ_GB,2022,6,2022-10-16,NYJ,GB,10,27,-17,0.0,0.658052479262141,GB,65-70,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.1023,0.7604,0.1023,0,REG,outdoors,grass,Sunday,0,1.0731,0.433,0,NYJ,0,0
2022_03_NO_CAR,2022,3,2022-09-25,NO,CAR,22,14,8,1.0,0.343727548075551,NO,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,1,0,0,0.1172,0.461,0.1172,0,REG,outdoors,grass,Sunday,1,1.0679,0.4307,0,CAR,0,0
2022_03_JAX_LAC,2022,3,2022-09-25,JAX,LAC,10,38,-28,0.0,0.6552871758982726,LAC,65-70,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,1,0,0,0.0408,0.6961,0.0408,0,REG,dome,matrixturf,Sunday,0,1.065,0.4294,0,JAX,0,0
2022_02_IND_JAX,2022,2,2022-09-18,IND,JAX,24,0,24,1.0,0.3491600880221578,IND,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,1,0,0,0.0543,0.4035,0.0543,0,REG,outdoors,grass,Sunday,1,1.0522,0.4236,0,JAX,0,0
2022_07_GB_WAS,2022,7,2022-10-23,GB,WAS,23,21,2,1.0,0.3510295500547669,GB,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,0.0055,0.3566,0.0055,1,REG,outdoors,grass,Sunday,0,1.0469,0.4212,0,WAS,0,0
2022_18_DET_GB,2022,18,2023-01-08,DET,GB,16,20,-4,0.0,0.6488106310102467,GB,60-65,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0627,0.7115,0.0627,0,REG,outdoors,grass,Sunday,1,1.0464,0.421,0,DET,0,0
