season,week,games,accuracy,log_loss,brier,avg_confidence,favorite_accuracy,worst_game_log_loss,best_game_log_loss
2019,1,15,0.8,0.5418,0.177,0.5708,0.7778,1.1796,0.2987
2019,2,16,0.6875,0.6008,0.21,0.4918,0.6,1.3771,0.119
2019,3,16,0.625,0.595,0.2106,0.6481,0.6154,1.298,0.0509
2019,4,15,0.5333,0.7955,0.2913,0.5559,0.3636,1.7465,0.2647
2019,5,14,0.5,0.6914,0.2518,0.6192,0.4615,1.4907,0.0972
2019,6,13,0.4615,0.791,0.2881,0.5527,0.5,2.0779,0.1407
2019,7,14,0.7857,0.5521,0.187,0.4814,0.6667,1.119,0.1321
2019,8,14,0.8571,0.4319,0.1312,0.6568,0.8333,1.0381,0.1501
2019,9,13,0.6923,0.5489,0.1841,0.5194,1.0,0.8706,0.1918
2019,10,13,0.2308,0.8509,0.3093,0.5508,0.3333,2.4459,0.1186
2019,11,13,0.7692,0.5163,0.169,0.5728,0.75,1.1488,0.154
2019,12,14,0.7857,0.5304,0.1748,0.5917,0.8889,1.2038,0.2449
2019,13,16,0.5,0.7032,0.2553,0.4669,0.5,1.2997,0.2377
2019,14,16,0.75,0.5922,0.2027,0.5898,0.7273,1.521,0.1975
2019,15,16,0.5625,0.6572,0.2348,0.5357,0.5,1.4741,0.1696
2019,16,16,0.625,0.7273,0.2566,0.5873,0.5833,2.0704,0.2775
2019,17,16,0.5,0.6449,0.2235,0.5567,0.4545,2.1984,0.1412
2019,18,4,0.25,1.1521,0.4353,0.7214,0.25,2.0011,0.373
2019,19,4,0.75,0.6466,0.2235,0.6784,0.75,1.3319,0.3469
2019,20,2,1.0,0.4361,0.1279,0.6516,1.0,0.5608,0.3114
