subgroup,n,accuracy,log_loss,brier,mean_confidence
QB change (either team),43,0.5581,0.7143,0.2546,0.5944
No QB change,217,0.6406,0.6259,0.2177,0.5608
Home QB change,43,0.5581,0.7143,0.2546,0.5944
Strong favorite (prob >= 0.65),98,0.6735,0.6457,0.2233,0.7494
Near toss-up (0.45-0.55),35,0.4857,0.6851,0.246,0.4971
Home favorite,167,0.6168,0.6647,0.234,0.6815
Away favorite (underdog),93,0.6452,0.5971,0.2055,0.3596
Game type: REG,250,0.628,0.6339,0.2212,0.5614
Game type: WC,4,0.25,1.1521,0.4353,0.7214
Game type: DIV,4,0.75,0.6466,0.2235,0.6784
Game type: CON,2,1.0,0.4361,0.1279,0.6516
Roof: outdoors,195,0.6205,0.6399,0.2242,0.5613
Roof: dome,25,0.76,0.6235,0.2058,0.6112
Roof: closed,35,0.5429,0.6747,0.2427,0.58
Weekday: Sunday,220,0.6182,0.6509,0.2281,0.5669
Weekday: Monday,16,0.8125,0.4761,0.1499,0.5474
Weekday: Thursday,17,0.5882,0.6205,0.2201,0.5439
Weekday: Saturday,7,0.5714,0.7379,0.2667,0.6464
Divisional game,93,0.6559,0.6217,0.2138,0.5604
Non-divisional game,167,0.6108,0.651,0.2294,0.5697
Early season (W1-4),62,0.6613,0.6321,0.2218,0.5668
Mid season (W5-12),108,0.6389,0.6118,0.211,0.5688
Late season (W13-18),84,0.5714,0.6882,0.2441,0.5556
Postseason (W19+),6,0.8333,0.5765,0.1917,0.6694
Confidence: 50-55,15,0.4667,0.7073,0.257,0.5275
Confidence: 55-60,29,0.4828,0.7142,0.2604,0.5802
Confidence: 60-65,25,0.64,0.6559,0.2315,0.6255
Confidence: 65-70,31,0.6129,0.6759,0.241,0.6773
Confidence: 70-80,44,0.6591,0.6566,0.2308,0.7454
Confidence: 80+,23,0.7826,0.5841,0.1852,0.8541
