bucket,range,n,avg_predicted_prob,actual_win_rate,calibration_gap,accuracy,log_loss,brier
50-55,0.50-0.55,23,0.5261,0.4348,0.0913,0.4348,0.6943,0.2506
55-60,0.55-0.60,37,0.5752,0.6486,-0.0735,0.6486,0.657,0.2321
60-65,0.60-0.65,32,0.6291,0.625,0.0041,0.625,0.6651,0.236
65-70,0.65-0.70,23,0.6739,0.6522,0.0217,0.6522,0.6421,0.2251
70-80,0.70-0.80,38,0.734,0.8421,-0.1081,0.8421,0.4669,0.1438
80+,0.80-1.01,13,0.857,0.8462,0.0109,0.8462,0.399,0.1232
