bucket,range,n,avg_predicted_prob,actual_win_rate,calibration_gap,accuracy,log_loss,brier
50-55,0.50-0.55,35,0.5238,0.6571,-0.1334,0.6571,0.6772,0.242
55-60,0.55-0.60,27,0.577,0.5185,0.0585,0.5185,0.7083,0.2574
60-65,0.60-0.65,25,0.6316,0.72,-0.0884,0.72,0.5981,0.2037
65-70,0.65-0.70,33,0.6734,0.7576,-0.0842,0.7576,0.5679,0.1895
70-80,0.70-0.80,34,0.7413,0.6471,0.0943,0.6471,0.6631,0.2337
80+,0.80-1.01,15,0.8497,0.8667,-0.017,0.8667,0.387,0.1146
