team,games,accuracy,log_loss,brier,avg_predicted_win_prob,actual_win_rate,calibration_gap,is_overestimated,is_underestimated
ARI,16,0.8125,0.5732,0.1915,0.3958,0.25,0.1458,True,False
ATL,17,0.7059,0.5749,0.1935,0.4699,0.4118,0.0581,True,False
BAL,18,0.6111,0.6455,0.2308,0.4966,0.5556,-0.0589,False,True
BUF,17,0.7059,0.5312,0.1769,0.6372,0.7647,-0.1275,False,True
CAR,17,0.5882,0.6815,0.2458,0.3606,0.4118,-0.0512,False,True
CHI,17,0.7059,0.521,0.1725,0.3654,0.1765,0.189,True,False
CIN,19,0.5789,0.6081,0.2131,0.6032,0.7368,-0.1336,False,True
CLE,16,0.375,0.7355,0.2707,0.4541,0.4375,0.0166,False,False
DAL,19,0.6316,0.6066,0.2109,0.6207,0.6842,-0.0635,False,True
DEN,16,0.75,0.5471,0.1813,0.4044,0.25,0.1544,True,False
DET,17,0.5882,0.7012,0.2538,0.4101,0.5294,-0.1193,False,True
GB,16,0.4375,0.7417,0.2749,0.5207,0.5,0.0207,False,False
HOU,16,0.75,0.5129,0.1717,0.3363,0.1875,0.1488,True,False
IND,16,0.625,0.6319,0.2207,0.4238,0.25,0.1738,True,False
JAX,18,0.5556,0.7081,0.257,0.397,0.5556,-0.1586,False,True
KC,19,0.7895,0.4678,0.1483,0.6735,0.8421,-0.1686,False,True
LA,17,0.5882,0.6216,0.2192,0.527,0.2941,0.2328,True,False
LAC,18,0.5556,0.6668,0.2363,0.5397,0.5556,-0.0158,False,False
LV,17,0.3529,0.7238,0.2655,0.4855,0.3529,0.1326,True,False
MIA,18,0.7778,0.5166,0.1689,0.5304,0.5,0.0304,False,False
MIN,17,0.6471,0.6689,0.234,0.6242,0.7059,-0.0817,False,True
NE,17,0.7059,0.6127,0.2128,0.485,0.4706,0.0145,False,False
NO,16,0.625,0.7006,0.2528,0.4853,0.4375,0.0478,False,False
NYG,17,0.7059,0.6672,0.232,0.4378,0.5294,-0.0916,False,True
NYJ,17,0.6471,0.6834,0.2431,0.427,0.4118,0.0152,False,False
PHI,19,0.8421,0.5231,0.1687,0.6523,0.8421,-0.1898,False,True
PIT,17,0.5294,0.755,0.2779,0.4931,0.5294,-0.0363,False,False
SEA,17,0.6471,0.6335,0.2222,0.5114,0.5294,-0.018,False,False
SF,19,0.7368,0.5391,0.1784,0.6086,0.7368,-0.1282,False,True
TB,17,0.5294,0.6994,0.2519,0.5388,0.4118,0.127,True,False
TEN,17,0.7059,0.6539,0.2301,0.5231,0.4118,0.1114,True,False
WAS,16,0.5,0.7239,0.2623,0.4552,0.5,-0.0448,False,False
