bucket,range,n,avg_predicted_prob,actual_win_rate,calibration_gap,accuracy,log_loss,brier
50-55,0.50-0.55,32,0.5239,0.5312,-0.0074,0.5312,0.6853,0.2461
55-60,0.55-0.60,28,0.5753,0.5357,0.0396,0.5357,0.6902,0.2486
60-65,0.60-0.65,25,0.6264,0.84,-0.2136,0.84,0.559,0.1841
65-70,0.65-0.70,30,0.679,0.6,0.079,0.6,0.678,0.2423
70-80,0.70-0.80,32,0.7388,0.8438,-0.105,0.8438,0.4558,0.1396
80+,0.80-1.01,20,0.851,0.9,-0.049,0.9,0.3245,0.0903
