season,week,games,accuracy,log_loss,brier,avg_confidence,favorite_accuracy,worst_game_log_loss,best_game_log_loss
2025,1,15,0.8,0.5586,0.1874,0.5166,0.8571,1.064,0.1973
2025,2,16,0.625,0.5986,0.2066,0.5528,0.5556,1.4466,0.2063
2025,3,16,0.6875,0.5676,0.1926,0.5175,0.8889,1.505,0.1315
2025,4,14,0.6429,0.6152,0.2124,0.5773,0.7778,1.7406,0.1332
2025,5,13,0.2308,1.0333,0.39,0.5747,0.125,2.0979,0.3055
2025,6,14,0.6429,0.7086,0.2507,0.5137,0.8333,1.9365,0.1533
2025,7,14,0.7143,0.5545,0.1855,0.511,0.8571,1.0681,0.1933
2025,8,13,0.7692,0.5732,0.1953,0.5848,0.7778,1.2921,0.1928
2025,9,14,0.5714,0.735,0.2628,0.5737,0.375,2.1813,0.0671
2025,10,13,0.6154,0.6279,0.222,0.5244,0.6667,1.3622,0.1736
2025,11,14,0.7857,0.5078,0.1634,0.4871,0.75,1.0062,0.2445
2025,12,14,0.7143,0.5561,0.189,0.5693,0.7778,1.3618,0.1492
2025,13,16,0.5625,0.6857,0.244,0.5587,0.5556,2.1169,0.0781
2025,14,14,0.5714,0.6231,0.2204,0.4929,0.5,1.3106,0.1129
2025,15,16,0.75,0.4937,0.1662,0.6552,0.75,1.018,0.0876
2025,16,16,0.8125,0.5195,0.1745,0.4842,0.7143,1.1939,0.0605
2025,17,16,0.625,0.6899,0.2458,0.4241,0.5,1.682,0.168
2025,18,16,0.625,0.6334,0.2268,0.6738,0.75,1.6013,0.0955
2025,19,6,0.6667,0.5576,0.1887,0.5904,0.5,1.2423,0.1771
2025,20,4,1.0,0.5375,0.1735,0.5696,1.0,0.6293,0.4151
2025,21,2,1.0,0.4955,0.1542,0.5647,1.0,0.6014,0.3895
