game_id,season,week,gameday,away_team,home_team,home_score,away_score,result,home_win_actual,incumbent_home_win_prob,base_incumbent_prob,predicted_winner,confidence_bucket,model_version,model_date,training_seasons,feature_set,calibration_method,model_holdout_ll,elo_k,elo_hfa,elo_reg,elo_decay,elo_qb_bonus,overlay_gamma,overlay_cap,overlay_gate_active,home_qb_adj,away_qb_adj,caution_qb_change,caution_neutral,caution_early_season,caution_missing_features,caution_model_market_disagreement,market_model_diff,market_prob_diagnostic,market_minus_model_diagnostic,qb_change_flag,game_type,roof,surface,weekday,div_game,log_loss,brier,correct,actual_winner,is_favorite_correct,is_underdog_correct
2019_10_CAR_GB,2019,10,2019-11-10,CAR,GB,24,16,8,1.0,0.6219980471347325,0.6343668828854399,GB,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,30.8,61.7,0,0,0,0,0,0.0536,0.6756,0.0536,0,REG,outdoors,grass,Sunday,0,0.4748,0.1429,1,GB,1,0
2020_03_SF_NYG,2020,3,2020-09-27,SF,NYG,9,36,-27,0.0,0.3759368281136379,0.3980550257048621,SF,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-79.3,-23.8,1,0,1,0,0,0.0407,0.4166,0.0407,1,REG,outdoors,fieldturf,Sunday,0,0.4715,0.1413,1,SF,0,1
2020_08_SF_SEA,2020,8,2020-11-01,SF,SEA,37,27,10,1.0,0.6242323499720429,0.6242323499720429,SEA,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,41.8,93.1,0,0,0,0,0,-0.1126,0.5116,-0.1126,0,REG,outdoors,fieldturf,Sunday,1,0.4712,0.1412,1,SEA,1,0
2019_03_BAL_KC,2019,3,2019-09-22,BAL,KC,33,28,5,1.0,0.624785800504692,0.624785800504692,KC,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,42.5,46.6,0,0,1,0,0,0.0407,0.6655,0.0407,0,REG,outdoors,astroturf,Sunday,0,0.4703,0.1408,1,KC,1,0
2020_03_WAS_CLE,2020,3,2020-09-27,WAS,CLE,34,20,14,1.0,0.6267528365854678,0.5925217098510187,CLE,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-15.0,-41.0,0,0,1,0,0,0.119,0.7458,0.119,0,REG,outdoors,grass,Sunday,0,0.4672,0.1393,1,CLE,1,0
2019_02_CLE_NYJ,2019,2,2019-09-16,CLE,NYJ,3,23,-20,0.0,0.372598946283522,0.415729217471543,CLE,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-26.9,4.5,1,0,1,0,0,-0.0875,0.2851,-0.0875,1,REG,outdoors,fieldturf,Monday,0,0.4662,0.1388,1,CLE,0,1
2019_03_ATL_IND,2019,3,2019-09-22,ATL,IND,27,24,3,1.0,0.6291884228206713,0.6291884228206713,IND,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,0,-79.5,10.0,0,0,1,0,0,-0.1052,0.524,-0.1052,0,REG,closed,fieldturf,Sunday,0,0.4633,0.1375,1,IND,1,0
2020_03_TEN_MIN,2020,3,2020-09-27,TEN,MIN,30,31,-1,0.0,0.370385432167139,0.3948555151517383,TEN,50-55,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,-19.9,-1.9,0,0,1,0,0,0.0373,0.4077,0.0373,0,REG,dome,sportturf,Sunday,0,0.4626,0.1372,1,TEN,0,1
2020_17_PIT_CLE,2020,17,2021-01-03,PIT,CLE,24,22,2,1.0,0.6300454882349258,0.6116193200181265,CLE,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,5.4,-8.2,1,0,0,0,1,0.1663,0.7963,0.1663,1,REG,outdoors,grass,Sunday,1,0.462,0.1369,1,CLE,1,0
2019_04_WAS_NYG,2019,4,2019-09-29,WAS,NYG,24,3,21,1.0,0.6315034111333765,0.5815492944962942,NYG,60-65,v3.0.0,2026-06-29,2021-2024,qb_changed + rolling_mov_3 + frozen QB overlay,"Platt + frozen QB overlay (logit-space, gated changed OR starts<17, gamma=1.0, cap=40)",0.62,36,40,0.1,32,0.2,1.0,40,1,0.8,-35.6,0,0,1,0,0,-0.0276,0.6039,-0.0276,0,REG,outdoors,fieldturf,Sunday,1,0.4597,0.1358,1,NYG,1,0
