season,week,games,accuracy,log_loss,brier,avg_confidence,favorite_accuracy,worst_game_log_loss,best_game_log_loss
2024,1,15,0.8,0.5801,0.1954,0.5843,0.8182,1.172,0.2839
2024,2,16,0.5625,0.7455,0.2746,0.5175,0.4286,1.2174,0.3574
2024,3,16,0.5,0.7494,0.2717,0.578,0.4545,1.918,0.2459
2024,4,16,0.4375,0.6799,0.2444,0.4845,0.5,0.9989,0.3466
2024,5,13,0.6154,0.6925,0.2485,0.5592,0.625,1.3289,0.2881
2024,6,13,0.7692,0.5551,0.1841,0.4893,0.5,1.1057,0.2459
2024,7,14,0.7857,0.5557,0.1864,0.5476,0.75,0.8883,0.1272
2024,8,16,0.6875,0.6011,0.2092,0.5319,0.7778,1.5693,0.1173
2024,9,15,0.6667,0.5872,0.2037,0.591,0.75,1.2515,0.1067
2024,10,13,0.6923,0.5927,0.202,0.5123,0.5714,1.1472,0.258
2024,11,14,0.8571,0.5498,0.1825,0.5233,0.875,1.0768,0.1808
2024,12,13,0.7692,0.5908,0.2009,0.4472,0.6,1.3905,0.1965
2024,13,16,0.9375,0.411,0.1204,0.5789,0.8889,0.7343,0.1387
2024,14,13,0.7692,0.5393,0.1781,0.6294,0.8,1.3128,0.1756
2024,15,16,0.6875,0.5283,0.1751,0.5127,0.5,1.1043,0.1886
2024,16,16,0.625,0.5507,0.1862,0.5245,1.0,1.1272,0.1692
2024,17,16,0.8125,0.5188,0.1677,0.5206,0.8,1.3376,0.2013
2024,18,16,0.625,0.6538,0.2334,0.6096,0.6364,1.6896,0.0787
2024,19,5,0.6,0.5622,0.188,0.5932,0.75,0.8281,0.3117
2024,20,4,0.75,0.653,0.2274,0.661,0.75,1.2731,0.376
2024,21,2,1.0,0.5003,0.1554,0.6073,1.0,0.5558,0.4448
