game_id,season,week,gameday,away_team,home_team,home_score,away_score,result,home_win_actual,incumbent_home_win_prob,predicted_winner,confidence_bucket,model_version,feature_set,calibration_method,caution_qb_change,caution_neutral,caution_early_season,caution_missing_features,caution_model_market_disagreement,market_model_diff,market_prob_diagnostic,market_minus_model_diagnostic,qb_change_flag,game_type,roof,surface,weekday,div_game,log_loss,brier,correct,actual_winner,is_favorite_correct,is_underdog_correct
2024_03_CAR_LV,2024,3,2024-09-22,CAR,LV,22,36,-14,0.0,0.8530975456345911,LV,80+,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,1,0,1,-0.1725,0.6806,-0.1725,1,REG,dome,grass,Sunday,0,1.918,0.7278,0,CAR,0,0
2024_18_CHI_GB,2024,18,2025-01-05,CHI,GB,22,24,-2,0.0,0.8154077117557258,GB,80+,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0439,0.7715,-0.0439,0,REG,outdoors,grass,Sunday,1,1.6896,0.6649,0,CHI,0,0
2024_08_BAL_CLE,2024,8,2024-10-27,BAL,CLE,29,24,5,1.0,0.2081912825730825,BAL,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,0.0318,0.24,0.0318,1,REG,outdoors,grass,Sunday,1,1.5693,0.627,0,CLE,0,0
2024_18_BUF_NE,2024,18,2025-01-05,BUF,NE,23,16,7,1.0,0.2475325952942722,BUF,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,1,0.1528,0.4004,0.1528,1,REG,outdoors,fieldturf,Sunday,1,1.3962,0.5662,0,NE,0,0
2024_12_PIT_CLE,2024,12,2024-11-21,PIT,CLE,24,19,5,1.0,0.2489503314079431,PIT,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.1063,0.3553,0.1063,0,REG,outdoors,grass,Thursday,1,1.3905,0.5641,0,CLE,0,0
2024_12_TEN_HOU,2024,12,2024-11-24,TEN,HOU,27,32,-5,0.0,0.7397298793742678,HOU,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0175,0.7572,0.0175,0,REG,closed,astroturf,Sunday,1,1.346,0.5472,0,TEN,0,0
2024_17_IND_NYG,2024,17,2024-12-29,IND,NYG,45,33,12,1.0,0.2624766655902865,IND,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.034,0.2285,-0.034,0,REG,outdoors,fieldturf,Sunday,0,1.3376,0.5439,0,NYG,0,0
2024_05_ARI_SF,2024,5,2024-10-06,ARI,SF,23,24,-1,0.0,0.7352205188414275,SF,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0017,0.7335,-0.0017,0,REG,outdoors,grass,Sunday,1,1.3289,0.5405,0,ARI,0,0
2024_14_JAX_TEN,2024,14,2024-12-08,JAX,TEN,6,10,-4,0.0,0.730927779648848,TEN,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.1272,0.6038,-0.1272,1,REG,outdoors,grass,Sunday,1,1.3128,0.5343,0,JAX,0,0
2024_20_WAS_DET,2024,20,2025-01-18,WAS,DET,31,45,-14,0.0,0.7200454049143556,DET,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0842,0.8043,0.0842,0,DIV,dome,fieldturf,Saturday,0,1.2731,0.5185,0,WAS,0,0
