bucket,range,n,avg_predicted_prob,actual_win_rate,calibration_gap,accuracy,log_loss,brier
50-55,0.50-0.55,35,0.5253,0.4286,0.0968,0.4286,0.7072,0.257
55-60,0.55-0.60,52,0.579,0.5385,0.0406,0.5385,0.6993,0.2529
60-65,0.60-0.65,56,0.6244,0.5893,0.0351,0.5893,0.6784,0.2426
65-70,0.65-0.70,63,0.6753,0.6508,0.0245,0.6508,0.6504,0.2288
70-80,0.70-0.80,73,0.7492,0.6712,0.078,0.6712,0.6543,0.2289
80+,0.80-1.01,56,0.8516,0.8036,0.048,0.8036,0.5268,0.1659
