game_id,season,week,gameday,away_team,home_team,home_score,away_score,result,home_win_actual,incumbent_home_win_prob,predicted_winner,confidence_bucket,model_version,feature_set,calibration_method,caution_qb_change,caution_neutral,caution_early_season,caution_missing_features,caution_model_market_disagreement,market_model_diff,market_prob_diagnostic,market_minus_model_diagnostic,qb_change_flag,game_type,roof,surface,weekday,div_game,log_loss,brier,correct,actual_winner,is_favorite_correct,is_underdog_correct
2025_13_CIN_BAL,2025,13,2025-11-27,CIN,BAL,14,32,-18,0.0,0.8743687611345841,BAL,80+,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.1172,0.7572,-0.1172,1,REG,outdoors,grass,Thursday,1,2.0744,0.7645,0,CIN,0,0
2025_09_MIN_DET,2025,9,2025-11-02,MIN,DET,24,27,-3,0.0,0.858886983227112,DET,80+,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.047,0.8119,-0.047,1,REG,dome,fieldturf,Sunday,1,1.9582,0.7377,0,MIN,0,0
2025_06_PHI_NYG,2025,6,2025-10-09,PHI,NYG,34,17,17,1.0,0.1679345894280969,PHI,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0662,0.2341,0.0662,0,REG,outdoors,fieldturf,Thursday,1,1.7842,0.6923,0,NYG,0,0
2025_05_SF_LA,2025,5,2025-10-02,SF,LA,23,26,-3,0.0,0.8265817839151555,LA,80+,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.0447,0.7819,-0.0447,1,REG,dome,matrixturf,Thursday,1,1.752,0.6832,0,SF,0,0
2025_05_NE_BUF,2025,5,2025-10-05,NE,BUF,20,23,-3,0.0,0.8193311916955489,BUF,80+,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0534,0.7659,-0.0534,0,REG,outdoors,a_turf,Sunday,1,1.7111,0.6713,0,NE,0,0
2025_04_LAC_NYG,2025,4,2025-09-28,LAC,NYG,21,18,3,1.0,0.1970786830711405,LAC,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,1,0,0,0.0934,0.2905,0.0934,1,REG,outdoors,fieldturf,Sunday,0,1.6242,0.6447,0,NYG,0,0
2025_18_KC_LV,2025,18,2026-01-04,KC,LV,14,12,2,1.0,0.2049984743417058,KC,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,0.1314,0.3364,0.1314,1,REG,dome,grass,Sunday,1,1.5848,0.632,0,LV,0,0
2025_05_DEN_PHI,2025,5,2025-10-05,DEN,PHI,17,21,-4,0.0,0.7819741565121562,PHI,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.1245,0.6575,-0.1245,0,REG,outdoors,grass,Sunday,0,1.5231,0.6115,0,DEN,0,0
2025_18_WAS_PHI,2025,18,2026-01-04,WAS,PHI,17,24,-7,0.0,0.7808184469967059,PHI,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,1,-0.1644,0.6164,-0.1644,1,REG,outdoors,grass,Sunday,1,1.5179,0.6097,0,WAS,0,0
2025_17_PIT_CLE,2025,17,2025-12-28,PIT,CLE,13,6,7,1.0,0.229996710478,PIT,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.1253,0.3553,0.1253,0,REG,outdoors,grass,Sunday,1,1.4697,0.5929,0,CLE,0,0
2025_19_BUF_JAX,2025,19,2026-01-11,BUF,JAX,24,27,-3,0.0,0.766491370676195,JAX,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,1,-0.2404,0.5261,-0.2404,1,WC,outdoors,grass,Sunday,0,1.4545,0.5875,0,BUF,0,0
2025_12_PHI_DAL,2025,12,2025-11-23,PHI,DAL,24,21,3,1.0,0.2367359392711292,PHI,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,1,0.1699,0.4066,0.1699,0,REG,closed,matrixturf,Sunday,1,1.4408,0.5826,0,DAL,0,0
2025_10_BUF_MIA,2025,10,2025-11-09,BUF,MIA,30,13,17,1.0,0.2390327877490006,BUF,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0258,0.2133,-0.0258,0,REG,outdoors,grass,Sunday,1,1.4312,0.5791,0,MIA,0,0
2025_17_BAL_GB,2025,17,2025-12-27,BAL,GB,24,41,-17,0.0,0.7598894320023077,GB,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,1,-0.1964,0.5635,-0.1964,1,REG,outdoors,grass,Saturday,0,1.4267,0.5774,0,BAL,0,0
2025_13_HOU_IND,2025,13,2025-11-30,HOU,IND,16,20,-4,0.0,0.7414652947518419,IND,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.1377,0.6038,-0.1377,1,REG,closed,fieldturf,Sunday,1,1.3527,0.5498,0,HOU,0,0
2025_03_GB_CLE,2025,3,2025-09-21,GB,CLE,13,10,3,1.0,0.2588147655200238,GB,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,1,0,0,-0.0502,0.2086,-0.0502,0,REG,outdoors,grass,Sunday,0,1.3516,0.5494,0,CLE,0,0
2025_09_CAR_GB,2025,9,2025-11-02,CAR,GB,13,16,-3,0.0,0.7303391624346803,GB,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.1418,0.8721,0.1418,0,REG,outdoors,grass,Sunday,0,1.3106,0.5334,0,CAR,0,0
2025_02_ATL_MIN,2025,2,2025-09-14,ATL,MIN,6,22,-16,0.0,0.728991714808462,MIN,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,1,0,0,-0.1126,0.6164,-0.1126,0,REG,dome,sportturf,Sunday,0,1.3056,0.5314,0,ATL,0,0
2025_08_NYJ_CIN,2025,8,2025-10-26,NYJ,CIN,38,39,-1,0.0,0.7253585325921176,CIN,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0346,0.6908,-0.0346,0,REG,outdoors,fieldturf,Sunday,0,1.2923,0.5261,0,NYJ,0,0
2025_14_NO_TB,2025,14,2025-12-07,NO,TB,20,24,-4,0.0,0.7212178211924193,TB,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,0.0556,0.7768,0.0556,0,REG,outdoors,grass,Sunday,1,1.2773,0.5202,0,NO,0,0
2025_13_LA_CAR,2025,13,2025-11-30,LA,CAR,31,28,3,1.0,0.2797857135179227,LA,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.097,0.1827,-0.097,0,REG,outdoors,grass,Sunday,0,1.2737,0.5187,0,CAR,0,0
2025_12_CLE_LV,2025,12,2025-11-23,CLE,LV,10,24,-14,0.0,0.7073730831225321,LV,70-80,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),1,0,0,0,0,-0.114,0.5934,-0.114,1,REG,dome,grass,Sunday,0,1.2289,0.5004,0,CLE,0,0
2025_17_LA_ATL,2025,17,2025-12-29,LA,ATL,27,24,3,1.0,0.2972536570232907,LA,50-55,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0573,0.24,-0.0573,0,REG,closed,fieldturf,Monday,0,1.2132,0.4939,0,ATL,0,0
2025_16_JAX_DEN,2025,16,2025-12-21,JAX,DEN,20,34,-14,0.0,0.6988921122823307,DEN,65-70,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0897,0.6092,-0.0897,0,REG,outdoors,grass,Sunday,0,1.2003,0.4885,0,JAX,0,0
2025_06_CHI_WAS,2025,6,2025-10-13,CHI,WAS,24,25,-1,0.0,0.6975978079143905,WAS,65-70,v2.0.0,qb_changed + rolling_mov_3,Platt (logistic on Elo prob + features),0,0,0,0,0,-0.0068,0.6908,-0.0068,0,REG,outdoors,grass,Monday,0,1.196,0.4866,0,CHI,0,0
