bucket,range,n,avg_predicted_prob,actual_win_rate,calibration_gap,accuracy,log_loss,brier
50-55,0.50-0.55,15,0.5275,0.4667,0.0608,0.4667,0.7073,0.257
55-60,0.55-0.60,29,0.5802,0.4828,0.0975,0.4828,0.7142,0.2604
60-65,0.60-0.65,25,0.6255,0.64,-0.0145,0.64,0.6559,0.2315
65-70,0.65-0.70,31,0.6773,0.6129,0.0644,0.6129,0.6759,0.241
70-80,0.70-0.80,44,0.7454,0.6591,0.0863,0.6591,0.6566,0.2308
80+,0.80-1.01,23,0.8541,0.7826,0.0715,0.7826,0.5841,0.1852
