subgroup,n,accuracy,log_loss,brier,mean_confidence
QB change (either team),50,0.76,0.5222,0.1723,0.592
No QB change,228,0.6842,0.6093,0.2105,0.5345
Home QB change,50,0.76,0.5222,0.1723,0.592
Strong favorite (prob >= 0.65),82,0.7683,0.5051,0.1652,0.7443
Near toss-up (0.45-0.55),59,0.5932,0.6808,0.2438,0.5012
Home favorite,167,0.6946,0.5787,0.1975,0.6561
Away favorite (underdog),111,0.7027,0.6162,0.2129,0.3775
Game type: REG,267,0.6966,0.5941,0.2039,0.5417
Game type: WC,5,0.6,0.5622,0.188,0.5932
Game type: DIV,4,0.75,0.653,0.2274,0.661
Game type: CON,2,1.0,0.5003,0.1554,0.6073
Roof: outdoors,182,0.7363,0.5656,0.1908,0.5499
Roof: dome,52,0.6154,0.66,0.2337,0.5491
Roof: closed,44,0.6364,0.6314,0.2211,0.5188
Weekday: Sunday,224,0.692,0.6015,0.207,0.5381
Weekday: Monday,21,0.7143,0.5675,0.1924,0.5947
Weekday: Thursday,19,0.6842,0.6043,0.2086,0.5279
Weekday: Saturday,11,0.7273,0.5236,0.1736,0.6211
Weekday: Friday,1,,,,
Divisional game,98,0.6939,0.597,0.2058,0.5519
Non-divisional game,180,0.7,0.5919,0.2024,0.541
Early season (W1-4),63,0.5714,0.6905,0.2473,0.5404
Mid season (W5-12),111,0.7297,0.5901,0.2021,0.5268
Late season (W13-18),93,0.7419,0.5335,0.1768,0.5605
Postseason (W19+),11,0.7273,0.584,0.1964,0.6204
Confidence: 50-55,32,0.5312,0.6853,0.2461,0.5239
Confidence: 55-60,28,0.5357,0.6902,0.2486,0.5753
Confidence: 60-65,25,0.84,0.559,0.1841,0.6264
Confidence: 65-70,30,0.6,0.678,0.2423,0.679
Confidence: 70-80,32,0.8438,0.4558,0.1396,0.7388
Confidence: 80+,20,0.9,0.3245,0.0903,0.851
