subgroup,n,accuracy,log_loss,brier,mean_confidence
QB change (either team),55,0.5455,0.6674,0.2377,0.6557
No QB change,221,0.6923,0.6082,0.2102,0.5183
Home QB change,55,0.5455,0.6674,0.2377,0.6557
Strong favorite (prob >= 0.65),95,0.7158,0.5695,0.1931,0.7666
Near toss-up (0.45-0.55),44,0.5682,0.695,0.2509,0.4986
Home favorite,157,0.6752,0.6112,0.2121,0.6915
Away favorite (underdog),119,0.6471,0.6316,0.2204,0.3532
Game type: REG,264,0.6553,0.6236,0.2174,0.5441
Game type: WC,6,0.6667,0.5576,0.1887,0.5904
Game type: DIV,4,1.0,0.5375,0.1735,0.5696
Game type: CON,2,1.0,0.4955,0.1542,0.5647
Roof: outdoors,187,0.6898,0.6047,0.2088,0.5422
Roof: dome,49,0.6122,0.6728,0.2368,0.5794
Roof: closed,40,0.6,0.627,0.2222,0.5203
Weekday: Sunday,222,0.6847,0.5953,0.2055,0.5485
Weekday: Monday,22,0.6364,0.6552,0.233,0.5125
Weekday: Thursday,21,0.4762,0.8226,0.2952,0.5498
Weekday: Saturday,10,0.7,0.6217,0.2141,0.5354
Weekday: Friday,1,,,,
Divisional game,98,0.6531,0.6536,0.2271,0.5551
Non-divisional game,178,0.6685,0.6016,0.2094,0.5404
Early season (W1-4),61,0.6885,0.5844,0.1995,0.5403
Mid season (W5-12),109,0.633,0.6598,0.2313,0.5418
Late season (W13-18),94,0.6596,0.6072,0.2128,0.5493
Postseason (W19+),12,0.8333,0.5405,0.1779,0.5792
Confidence: 50-55,20,0.6,0.6959,0.2514,0.5267
Confidence: 55-60,21,0.6667,0.6441,0.2257,0.5775
Confidence: 60-65,21,0.5714,0.6865,0.2466,0.6225
Confidence: 65-70,29,0.6207,0.6664,0.2367,0.6745
Confidence: 70-80,31,0.6129,0.6963,0.2494,0.7472
Confidence: 80+,35,0.8857,0.3769,0.1072,0.8601
