season,week,games,accuracy,log_loss,brier,avg_confidence,favorite_accuracy,worst_game_log_loss,best_game_log_loss
2023,1,16,0.625,0.7181,0.2605,0.4973,0.5,1.2886,0.4135
2023,2,16,0.8125,0.5732,0.1947,0.5401,0.75,1.0187,0.1069
2023,3,16,0.6875,0.6868,0.2395,0.5945,0.6667,1.9702,0.2078
2023,4,15,0.6667,0.5726,0.1946,0.5275,0.625,1.1515,0.197
2023,5,13,0.7692,0.5981,0.2042,0.5053,0.8333,1.2122,0.3008
2023,6,14,0.7143,0.6089,0.2122,0.5573,0.875,1.4082,0.1185
2023,7,13,0.4615,0.7558,0.2793,0.5106,0.6667,1.4541,0.275
2023,8,16,0.625,0.6013,0.206,0.5214,0.6667,1.5892,0.1738
2023,9,13,0.6154,0.543,0.18,0.6166,0.6667,0.8743,0.1765
2023,10,13,0.5385,0.7779,0.29,0.5938,0.6,1.409,0.1341
2023,11,14,0.5714,0.5987,0.2077,0.552,0.7778,1.2891,0.1183
2023,12,16,0.75,0.6393,0.2224,0.5078,0.7143,1.3961,0.2739
2023,13,13,0.6154,0.686,0.244,0.5269,0.5,1.53,0.2961
2023,14,15,0.4667,0.7915,0.2968,0.5602,0.5556,1.5192,0.1109
2023,15,16,0.625,0.6358,0.2233,0.5231,0.7778,1.3183,0.2194
2023,16,16,0.5625,0.7374,0.2705,0.5131,0.5556,1.2369,0.3273
2023,17,16,0.8125,0.6053,0.2068,0.5763,0.7692,1.5764,0.2175
2023,18,16,0.75,0.6546,0.2296,0.5422,0.6667,1.7278,0.1701
2023,19,6,0.6667,0.5827,0.1986,0.6367,0.8,1.1116,0.2522
2023,20,4,0.75,0.6034,0.2062,0.6183,0.75,0.9643,0.4319
2023,21,2,0.5,0.7344,0.2701,0.5875,0.5,0.9158,0.553
